team,rating,games_played,last_game_date
BAL,1620.4117969754484,38,2025-01-19
BUF,1606.4405297249107,39,2025-01-26
DET,1603.8533107549833,38,2025-01-18
PHI,1601.9599902665861,39,2025-02-09
KC,1577.4389274524372,41,2025-02-09
GB,1559.8058724978202,37,2025-01-12
TB,1544.6460121728833,37,2025-01-12
MIN,1536.6076336477124,35,2025-01-13
DEN,1533.067674319243,35,2025-01-12
HOU,1521.7320727008191,38,2025-01-18
SF,1520.5274106524266,37,2025-01-05
LAC,1518.8868490800962,35,2025-01-11
CIN,1516.6143273828832,34,2025-01-04
LA,1514.9633751986905,37,2025-01-19
MIA,1509.0723702617502,35,2025-01-05
PIT,1508.9068349310942,36,2025-01-11
SEA,1499.798221201538,34,2025-01-05
WAS,1496.2706913110671,37,2025-01-26
DAL,1485.7602079943285,35,2025-01-05
NO,1474.2217772211065,34,2025-01-05
IND,1472.5816450363407,34,2025-01-05
ARI,1467.7697725124804,34,2025-01-05
ATL,1466.7056565036075,34,2025-01-05
CHI,1458.4759968667245,34,2025-01-05
NYJ,1456.3608774423628,34,2025-01-05
JAX,1452.6681288743926,34,2025-01-05
LV,1437.491173279004,34,2025-01-05
CLE,1424.2093062896774,35,2025-01-04
TEN,1416.353247045975,34,2025-01-05
NE,1408.1014028868387,34,2025-01-05
NYG,1403.4131448761432,34,2025-01-05
CAR,1384.883762638628,34,2025-01-05
